date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:42	176850/176850	---M--	200	added ('OK')	image/jpeg	etag:%2270efd84a631bdca3377a3e00e7349587%22	https://cdn.prod.website-files.com/659dc61047017bf9ae30d5ee/6611cfa399840044b1bc1fb6_cover-x-co-01.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/659dc61047017bf9ae30d5ee/6611cfa399840044b1bc1fb6_cover-x-co-01.jpg	(from https://www.maxmartinez.com/)
20:11:42	44084/44084	---M--	200	added ('OK')	image/jpeg	etag:%2203d0ff71951a0a7dcf92294e384cda9d%22	https://cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a351674029e0232f9e_thumb-omnipresent.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a351674029e0232f9e_thumb-omnipresent.jpg	(from https://www.maxmartinez.com/)
20:11:43	50489/50489	---M--	200	added ('OK')	image/jpeg	etag:%22640e1e32c7bcd20057dd1586b94ff6f6%22	https://cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a3721f1526669cdee6_thumb-riskledger.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a3721f1526669cdee6_thumb-riskledger.jpg	(from https://www.maxmartinez.com/)
20:11:43	75159/75159	---M--	200	added ('OK')	image/jpeg	etag:%2289ab1d206aad7a7a9d33e010d234911b%22	https://cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a3cc15022b3544dc68_thumb-metagravity.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/6611d0a3cc15022b3544dc68_thumb-metagravity.jpg	(from https://www.maxmartinez.com/)
20:11:43	167802/167802	---M--	200	added ('OK')	image/jpeg	etag:%22208a69d8a6b670959ddc9db67812ab42%22	https://cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/65a198d172bdf2634912768c_avatar-max-selfie-01.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/65a198d172bdf2634912768c_avatar-max-selfie-01.jpg	(from https://www.maxmartinez.com/)
20:11:43	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=65995e1581996ccb1f6ef45f	C:/Users/ishar/Desktop/maximuxi/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c84ad7.js	(from https://www.maxmartinez.com/)
20:11:44	250308/250308	---M-Z	200	added ('OK')	text/javascript	etag:%222ecb2dfff54e725435d613f15e5d9aa3%22	https://cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/js/webflow.7fb7d0be1.js	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/65995e1581996ccb1f6ef45f/js/webflow.7fb7d0be1.js	(from https://www.maxmartinez.com/)
20:11:44	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2008%20Jul%202024%2014:41:44%20GMT	https://www.maxmartinez.com/a	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/a	(from https://connect.facebook.net/en_US/fbevents.js)
20:11:44	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2008%20Jul%202024%2014:41:44%20GMT	https://www.maxmartinez.com/POST	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
20:11:45	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jul%202024%2014:41:45%20GMT	https://www.maxmartinez.com/schema.org/	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
20:11:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2008%20Jul%202024%2014:41:45%20GMT	https://www.maxmartinez.com/b.resolvedLink	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
20:11:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2008%20Jul%202024%2014:41:45%20GMT	https://www.maxmartinez.com/signals/iwl.js	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
20:11:45	50331/50331	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2014:41:45%20GMT	https://www.maxmartinez.com/work/soulful	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/work/soulful.html	(from https://www.maxmartinez.com/work)
20:11:46	920183/920183	---M--	200	added ('OK')	image/jpeg	etag:%22e6855722f709161b1d803e00fa9bbbe8%22	https://cdn.prod.website-files.com/659dc61047017bf9ae30d5ee/659dc989da7f6178f0b7e2aa_cover-soulful.jpg	C:/Users/ishar/Desktop/maximuxi/cdn.prod.website-files.com/659dc61047017bf9ae30d5ee/659dc989da7f6178f0b7e2aa_cover-soulful.jpg	(from https://www.maxmartinez.com/work)
20:11:46	50420/50420	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2014:41:46%20GMT	https://www.maxmartinez.com/work/at-the-well	C:/Users/ishar/Desktop/maximuxi/www.maxmartinez.com/work/at-the-well.html	(from https://www.maxmartinez.com/work)
